"","(Intercept)","as.numeric(days_since_shaving)","min_temp","shavearea","treeHeight","df","logLik","AICc","delta","weight","cv.mean.rmse","cv.mean.adj.rmse","loo.rmse"
"12",-0.0814954899248042,-0.117569698689492,-0.068810984448194,NA,0.00322185765370992,4,-335.970759681808,680.150943447386,0,0.389187163973738,3.92626664536264,3.90356437344121,3.86037810701362
"11",-0.425741213234698,NA,-0.0567586713999163,NA,0.00321557323665179,3,-337.368840125138,680.862680250277,0.711736802890186,0.272650830605108,3.89185511610353,3.87109737880724,3.8322966338143
"16",-0.362331336577145,-0.115883041602582,-0.0711028342651957,0.000224065901240056,0.00336721511328744,5,-335.822627405366,681.961044284417,1.81010083703018,0.157434571154428,4.04530449171684,4.0124897429064,3.90352515950164
"15",-0.735329387720955,NA,-0.0595226499361503,0.000252339709216773,0.00337660647981747,4,-337.178170543592,682.565765170954,2.41482172356757,0.116355424095318,NA,NA,NA
"9",-1.33761550883934,NA,NA,NA,0.00344189210943513,2,-340.560854851276,685.183885868356,5.03294242096945,0.0314245413324284,NA,NA,NA
"10",-1.26655708519501,-0.057020047729407,NA,NA,0.00347215292617553,3,-340.20198495567,686.528969911339,6.37802646395266,0.0160393830302671,NA,NA,NA
"13",-1.38267717181717,NA,NA,0.0000325974142332713,0.00346275248631904,3,-340.557543275632,687.240086551263,7.08914310387684,0.0112401120950982,NA,NA,NA
"14",-1.25912301376542,-0.0571073819583345,NA,-0.00000539866103914324,0.00346900421788377,4,-340.201892395131,688.613208874032,8.46226542664601,0.00565719199925695,NA,NA,NA
"4",1.95971035858586,-0.123491557389102,-0.0863164224078872,NA,NA,3,-348.351750088776,702.828500177551,22.6775567301651,0.00000463222485596953,NA,NA,NA
"3",1.59065388082369,NA,-0.073340572860567,NA,NA,2,-349.957119305441,703.976414776686,23.8254713292994,0.00000260929477470233,NA,NA,NA
"8",2.22729991492772,-0.126339906145486,-0.083054914122728,-0.000297006580432244,NA,4,-348.025987473144,704.261399030057,24.1104555826711,0.00000226276576949728,NA,NA,NA
"7",1.81990205761096,NA,-0.0702094499083576,-0.000262368496503602,NA,3,-349.701240844342,705.527481688685,25.3765382412984,0.00000120147086561985,NA,NA,NA
"1",0.574087820544121,NA,NA,NA,NA,1,-355.551454118934,713.12352679457,32.9725833471833,0.0000000269310326985005,NA,NA,NA
"5",1.08158688493706,NA,NA,-0.000488734043898712,NA,2,-354.632568655553,713.327313476909,33.1763700295222,0.0000000243221124134329,NA,NA,NA
"6",1.20425333050761,-0.0561220924292796,NA,-0.000524227964598982,NA,3,-354.274455637615,714.673911275231,34.5229678278446,0.0000000124048436499278,NA,NA,NA
"2",0.643692594039674,-0.0455073584687116,NA,NA,NA,2,-355.314346884324,714.690869934451,34.5399264870646,0.0000000123001035821968,NA,NA,NA
