"","Month_Season","month","Mean_mean_non_Pteropus","Med_mean_non_Pteropus","Min_mean_non_Pteropus","Max_mean_non_Pteropus","Lower_mean_non_Pteropus","Upper_mean_non_Pteropus","Mean_sum_non_Pteropus","Med_sum_non_Pteropus","Min_sum_non_Pteropus","Max_sum_non_Pteropus","Lower_sum_non_Pteropus","Upper_sum_non_Pteropus","Mean_mean_Pteropus","Med_mean_Pteropus","Min_mean_Pteropus","Max_mean_Pteropus","Lower_mean_Pteropus","Upper_mean_Pteropus","Mean_sum_Pteropus","Med_sum_Pteropus","Min_sum_Pteropus","Max_sum_Pteropus","Lower_sum_Pteropus","Upper_sum_Pteropus"
"1","Monsoon",6,0,0,0,0,0,0,0,0,0,0,0,0,0.0260714285714286,0.0238095238095238,0,0.0833333333333333,0,0.0714285714285714,2.19,2,0,7,0,6
"2","Monsoon",7,0.0707142857142857,0.0714285714285714,0,0.19047619047619,0,0.172916666666667,5.94,6,0,16,0,14.525,0.0709523809523809,0.0595238095238095,0.0119047619047619,0.166666666666667,0.0238095238095238,0.137202380952381,5.96,5,1,14,2,11.525
"3","Monsoon",8,4.27619047619048,4.05357142857143,0.0119047619047619,11.5595238095238,0.469642857142857,8.67827380952381,359.2,340.5,1,971,39.45,728.975,0.321071428571429,0.321428571428571,0.107142857142857,0.583333333333333,0.130952380952381,0.536309523809524,26.97,27,9,49,11,45.05
"4","Monsoon",9,2.97440476190476,2.99404761904762,1.3452380952381,4.61904761904762,1.79583333333333,4.26309523809524,249.85,251.5,113,388,150.85,358.1,1.67166666666667,1.70238095238095,0.869047619047619,2.46428571428571,1.15357142857143,2.27619047619048,140.42,143,73,207,96.9,191.2
"5","Postmonsoon",10,8.29928571428571,8.04166666666667,4,13.4047619047619,5.16369047619048,12.422619047619,697.14,675.5,336,1126,433.75,1043.5,0.923928571428571,0.904761904761905,0.333333333333333,1.77380952380952,0.463095238095238,1.61458333333333,77.61,76,28,149,38.9,135.625
"6","Postmonsoon",11,31.2302380952381,30.8869047619048,16.452380952381,58.9404761904762,18.0425595238095,46.7529761904762,2623.34,2594.5,1382,4951,1515.575,3927.25,0.499761904761905,0.476190476190476,0.19047619047619,0.821428571428571,0.2375,0.726190476190476,41.98,40,16,69,19.95,61
"7","Spring",3,10.3183333333333,10.1666666666667,7,14.4404761904762,7.44047619047619,13.4892857142857,866.74,854,588,1213,625,1133.1,0.640238095238095,0.601190476190476,0.0833333333333333,2.08333333333333,0.136607142857143,1.4797619047619,53.78,50.5,7,175,11.475,124.3
"8","Spring",4,33.2025,31.9821428571429,20.6785714285714,54.8452380952381,21.2571428571429,45.5943452380952,2789.01,2686.5,1737,4607,1785.6,3829.925,2.54666666666667,2.45833333333333,1.42857142857143,3.79761904761905,1.62857142857143,3.53184523809524,213.92,206.5,120,319,136.8,296.675
"9","Spring",5,4.46083333333333,4.41071428571429,2.3452380952381,7.96428571428571,2.5139880952381,6.68035714285714,374.71,370.5,197,669,211.175,561.15,0.988809523809524,0.988095238095238,0.333333333333333,2.03571428571429,0.430059523809524,1.55238095238095,83.06,83,28,171,36.125,130.4
"10","Winter",1,103.336785714286,102.952380952381,54.6785714285714,149.75,66.5154761904762,140.676785714286,8680.29,8648,4593,12579,5587.3,11816.85,3.11285714285714,3.16666666666667,1.8452380952381,4.53571428571429,2.23184523809524,4.20238095238095,261.48,266,155,381,187.475,353
"11","Winter",2,160.900238095238,158.392857142857,117.583333333333,218.940476190476,123.500892857143,199.80744047619,13515.62,13305,9877,18391,10374.075,16783.825,1.63285714285714,1.625,1,2.51190476190476,1.0577380952381,2.24553571428571,137.16,136.5,84,211,88.85,188.625
"12","Winter",12,20.4991666666667,20.5714285714286,11.4880952380952,34.6071428571429,12.1235119047619,30.6627976190476,1721.93,1728,965,2907,1018.375,2575.675,0.578571428571429,0.577380952380952,0.238095238095238,1.02380952380952,0.261904761904762,0.94047619047619,48.6,48.5,20,86,22,79
